Compartment,Adj Compartment,Interface Area (m^2),Centroid to Interface Distance (m),Mixing Length (m),Alpha,Adj Compartment,Interface Area (m^2),Centroid to Interface Distance (m),Mixing Length (m),Alpha,Adj Compartment,Interface Area (m^2),Centroid to Interface Distance (m),Mixing Length (m),Alpha,Adj Compartment,Interface Area (m^2),Centroid to Interface Distance (m),Mixing Length (m),Alpha
1,2,10000,0.05,-999,1
2,1,10000,0.05,-999,1,3,10000,0.05,-999,1
3,2,10000,0.05,-999,1,4,10000,0.05,-999,1
4,3,10000,0.05,-999,1,5,10000,0.05,-999,1
5,4,10000,0.05,-999,1,6,10000,0.05,-999,1
6,5,10000,0.05,-999,1,7,10000,0.05,-999,1
7,6,10000,0.05,-999,1,8,10000,0.05,-999,1
8,7,10000,0.05,-999,1,9,10000,0.05,-999,1
9,8,10000,0.05,-999,1,10,10000,0.05,-999,1
10,9,10000,0.05,-999,1,11,10000,0.05,-999,1
11,10,10000,0.05,-999,1,12,10000,0.05,-999,1
12,11,10000,0.05,-999
